ori,ori9,crosswalk_agency_name,census_name,population,fips_state_county_code,state
WY01104,,Wyoming State Capitol Police,,0,56021,NA
CZ00005,CZ0000500,Canal Zone,,0,57999,NA
GMTGM00,GMTGM0000,Guam,,0,66010,NA
CT00112,,,,0,09007,NA
FL00635,,,,0,12011,NA
FL05039,,,,0,12099,NA
FL063MP,,,,0,12125,NA
NB01006,,,,0,31019,NA
NY10100,,,,0,36001,NA
ORO2011,,,,0,41039,NA
TN05804,,,,0,47115,NA
NC08499,NC0849900,Misenheimer Police Department,Misenheimer Town,,37167,NC
PA01916,PA0191600,South Centre Township Police Department,South Centre Township,,42037,PA
PA03808,PA0380800,Cleona Boro Police Dept,State Of Pennsylvania,,42075,PA
AL01506,,Lisman Police Department,,,01023,NA
ALDI030,,Poarch Creek Police Department,,,01053,NA
AL05007,,Snead State Community College Public Safety,,,01055,NA
AL03070,,Dothan Airport Authority Police,,,01069,NA
AL00211,,Albert Brewer State Development Center Police,,,01097,NA
AL00210,,Searcy State Hospital Police,,,01097,NA
AL00216,,Mowa Choctaw Police Department,,,01097,NA
AK00151,,King Cove Police Department,,,02013,NA
AKAST03,,Alaska Department Of Public Safety,,,02020,NA
AK00141,,Unalakleet City Police Department,,,02180,NA
AKTRIB1,,Asa Carsarmuit Tribal Council,,,02270,NA
AK00158,,Saint Marys Department Of Public Safety,,,02270,NA
AK00115,,Yakutat Police Department,,,02282,NA
AK00129,,Fort Yukon Police Department,,,02290,NA
AK00134,,Galena Police Department,,,02290,NA
AK00144,,Tanana Police Department,,,02290,NA
AZ00106,,Navajo Nation Department Of Law Enforcement Rangers,,,04001,NA
AZTRIB1,,Colorado River Tribal Police Department,,,04012,NA
AZ00755,,Carefree Marshal's Office,,,04013,NA
AZ00752,,Cave Creek Marshal's Office,,,04013,NA
AZ00756,,Fountain Hills Marshal Office,,,04013,NA
AZ00741,,Arizona Racing Department Law Enforcement,,,04013,NA
AZ00745,,Arizona State Parks-Law Enforcement,,,04013,NA
AZ00738,,Santa Fe Railroad Police,,,04013,NA
AZ00743,,Maricopa Parks & Recreation Law Enforcement,,,04013,NA
AZTRIB2,,Fort Mohave Tribal Police Department,,,04015,NA
AZ00808,,Mohave County Park Rangers,,,04015,NA
AZ015ZZ,,Whiteriver Apache Tribal Police Department,,,04017,NA
AZTRIB5,,Tohono O'odham Tribal Police Department,,,04019,NA
AR00204,,Montrose Police Department,,,05003,NA
AR00506,,Omaha Police Department,,,05009,NA
AR01103,,Rector Police Department,,,05021,NA
AR01302,,Kingsland Police Department,,,05025,NA
AR01807,,Gilmore Police Department,,,05035,NA
AR02002,,Sparkman Police Department,,,05039,NA
AR03701,,Bradley City Police Department,,,05073,NA
AR04308,,Allport Police Department,,,05085,NA
AR05205,,East Camden Police Department,,,05103,NA
AR05405,,Lake View City (Phillips County) Police Department,,,05107,NA
AR05702,,Grannis Police Department,,,05113,NA
AR05805,,London Police Department,,,05115,NA
AR06013,,Arkansas Parks Tourism Enforcement Division,,,05119,NA
AR06203,,Palestine Police Department,,,05123,NA
AR06604,,West Park Community College Security,,,05131,NA
AR07006,,Calion Police Department,,,05139,NA
AR07004,,Huttig Police Department,,,05139,NA
AR07003,,Junction City Police Department,,,05139,NA
AR07212,,Elm Springs Police Department,,,05143,NA
CA00124,,Oakland Park Rangers,,,06001,NA
CA00133,,Oakland Housing Authority,,,06001,NA
CA0191P,,Cerritos Community College Police,,,06037,NA
CA0192S,,Inglewood Unified School District Police,,,06037,NA
CA0192M,,Pasadena Unified School District Security,,,06037,NA
CA0190B,,Los Angeles Unified School District Police,,,06037,NA
CA01988,,Los Angeles Port Police,,,06037,NA
CA0192Z,,Los Angeles Community College District Police,,,06037,NA
CA03111,,Sierra Community College Police,,,06061,NA
CA03430,,California Abc-Law Enforcement Division,,,06067,NA
CA03407,,California Department Of Motor Vehicles-Office Of Investigations & Audits,,,06067,NA
CA03642,,Hesperia Unified School District Security,,,06071,NA
CA03649,,Snowline Joint Unified School District Security,,,06071,NA
CA03721,,San Diego Unified School District Police,,,06073,NA
CA03817,,San Francisco Community College Police,,,06075,NA
CA04125,,San Francisco International Airport Police,,,06075,NA
CA03911,,San Joaquin Port District Police,,,06077,NA
CA04206,,Santa Barbara Harbor Patrol Agency,,,06083,NA
CA04322,,San Jose Unified School District Police,,,06085,NA
CA05806,,Yuba College Police,,,06115,NA
CO02605,,Western State College Security,,,08051,NA
CO02901,,Walden Police Department,,,08057,NA
CO03604,,Aguilar Police Department,,,08071,NA
CTCSP01,,Hartford Metro District Police,,,09003,NA
CT00026,,Chester Police Department,,,09007,NA
CT00182,,Middlefield Police Department,,,09007,NA
CT00130,,Southbury Police Department,,,09009,NA
CTD1002,,Mashantucket Pequot Police Department,,,09011,NA
DE00125,,Kent County Sheriff Department,,,10001,NA
DE00200,,New Castle County Sheriff Department,,,10003,NA
FLD0A03,,Florida Department Of Agricultural Law Enforcement,,,12073,NA
FL01332,,Miami Dade Community College-North Police,,,12086,NA
ID00305,,Inkom Police Department,,,16005,NA
ID02806,,Hayden Lake Police Department,,,16055,NA
ID03503,,Nez Perce Tribal Police Department,,,16069,NA
IL00105,,Liberty Police Department,,,17001,NA
IL00204,,East Cape Girardeau Police Department,,,17003,NA
IL00202,,Tamms Police Department,,,17003,NA
IL00203,,Thebes Police Department,,,17003,NA
IL00503,,Versailles Police Department,,,17009,NA
IL00605,,Sheffield Police Department,,,17011,NA
IL00611,,Tiskilwa Police Department,,,17011,NA
IL00608,,Wyanet Police Department,,,17011,NA
IL00906,,Chandlerville Police Department,,,17017,NA
IL01109,,Mount Auburn Police Department,,,17021,NA
IL11000,,Christian County Sheriff Department,,,17021,NA
IL01504,,Oakland Police Department,,,17029,NA
IL01803,,Toledo Police Department,,,17035,NA
IL02917,,St David Police Department,,,17057,NA
IL03006,,New Haven Police Department,,,17059,NA
IL03501,,Cave Indiana Rock Police Department,,,17069,NA
IL03604,,Biggsville Police Department,,,17071,NA
IL03809,,Ashkum Village Police Department,,,17075,NA
IL03810,,Buckley Village Police Department,,,17075,NA
IL03811,,Clifton Village Police Department,,,17075,NA
IL03815,,Woodland Police Department,,,17075,NA
IL03906,,Ava City Police Department,,,17077,NA
IL04309,,Scales Mound Police Department,,,17085,NA
IL04802,,Altona Police Department,,,17095,NA
IL05012,,Cedar Point Police Department,,,17099,NA
IL05005,,Naplate Police Department,,,17099,NA
IL05914,,Modesto Police Department,,,17117,NA
IL05908,,Shipman Police Department,,,17117,NA
IL05915,,Wilsonville Police Department,,,17117,NA
IL06030,,Williamson Police Department,,,17119,NA
IL06110,,Alma Police Department,,,17121,NA
IL06108,,Kinmundy Police Department,,,17121,NA
IL06107,,Odin Police Department,,,17121,NA
IL06605,,Joy Police Department,,,17131,NA
IL06602,,Keithsburg Police Department,,,17131,NA
IL06608,,New Boston City Police Department,,,17131,NA
IL06606,,Sherrard Police Department,,,17131,NA
IL06604,,New Windsor Police Department,,,17131,NA
IL06809,,Taylor Springs Police Department,,,17135,NA
IL07109,,Leaf River Police Department,,,17141,NA
IL07502,,Griggsville Police Chief,,,17149,NA
IL07701,,Karnak Police Department,,,17153,NA
IL07703,,Mounds Police Department,,,17153,NA
IL07802,,Hennepin Police Department,,,17155,NA
IL07911,,Baldwin Police Department,,,17157,NA
IL07907,,Evansville Police Department,,,17157,NA
IL07910,,Percy Police Department,,,17157,NA
IL07904,,Steeleville Police Department,,,17157,NA
IL08304,,Galatia Police Department,,,17165,NA
IL08305,,Muddy Police Department,,,17165,NA
IL08431,,Mechanicsburg Police Department,,,17167,NA
IL08708,,Stewardson Police Department,,,17173,NA
IL08704,,Strasburg Police Department,,,17173,NA
IL08705,,Windsor Police Department,,,17173,NA
IL08909,,Dakota Police Department,,,17177,NA
IL08906,,Orangeville Police Department,,,17177,NA
IL09705,,Crossville Police Department,,,17193,NA
IL10006,,Creal Springs Police Department,,,17199,NA
IL10010,,Pittsburg Police Department,,,17199,NA
IL10211,,Bayview Gardens Police Department,,,17203,NA
IN00103,,Geneva Police Department,,,18001,NA
IN00206,,Fort Wayne International Airport Police,,,18003,NA
IN00204,,Monroeville Police Department,,,18003,NA
IN00302,,Clifford Police Department,,,18005,NA
IN00303,,Elizabethtown Police Department,,,18005,NA
IN00304,,Hartsville Police Department,,,18005,NA
IN00305,,Hope Police Department,,,18005,NA
IN00306,,Jonesville Police Department,,,18005,NA
IN00402,,Boswell Police Department,,,18007,NA
IN00404,,Otterbein Police Department,,,18007,NA
IN00403,,Oxford Police Department,,,18007,NA
IN00502,,Montpelier Police Department,,,18009,NA
IN00606,,Advance Police Department,,,18011,NA
IN00604,,Jamestown Police Department,,,18011,NA
IN00602,,Thorntown Police Department,,,18011,NA
IN00701,,Nashville Police Department,,,18013,NA
IN00803,,Camden Police Department,,,18015,NA
IN00802,,Flora Police Department,,,18015,NA
IN00902,,Galveston Police Department,,,18017,NA
IN00904,,Royal Center Police Department,,,18017,NA
IN00903,,Walton Police Department,,,18017,NA
IN01103,,Clay City Police Department,,,18021,NA
IN01107,,Harmony Police Department,,,18021,NA
IN01105,,Staunton Police Department,,,18021,NA
IN01203,,Colfax Police Department,,,18023,NA
IN01205,,Kirklin Police Department,,,18023,NA
IN01206,,Michigantown Police Department,,,18023,NA
IN01204,,Mulberry Police Department,,,18023,NA
IN01202,,Rossville Police Department,,,18023,NA
IN01301,,English Police Department,,,18025,NA
IN01304,,Milltown Police Department,,,18025,NA
IN01405,,Montgomery Police Department,,,18027,NA
IN01402,,Odon Police Department,,,18027,NA
IN01404,,Plainville Police Department,,,18027,NA
IN01504,,Dillsboro Police Department,,,18029,NA
IN01506,,Moores Hill Police Department,,,18029,NA
IN01507,,St Leon Police Department,,,18029,NA
IN01605,,New Point Police Department,,,18031,NA
IN01602,,St Paul Police Department,,,18031,NA
IN01603,,Westport Police Department,,,18031,NA
IN01706,,Ashley Police Department,,,18033,NA
IN01802,,Albany Police Department,,,18035,NA
IN01808,,Daleville Town Police Department,,,18035,NA
IN01807,,Eaton Police Department,,,18035,NA
IN01806,,Selma Police Department,,,18035,NA
IN01905,,Birdseye Police Department,,,18037,NA
IN01903,,Ferdinand Police Department,,,18037,NA
IN01904,,Holland Marshal Office,,,18037,NA
IN02006,,Middlebury Police Department,,,18039,NA
IN02007,,Millersburg Police Department,,,18039,NA
IN02005,,Wakarusa Police Department,,,18039,NA
IN02204,,Greenville Marshal Office,,,18043,NA
IN02305,,Hillsboro Marshal's Office,,,18045,NA
IN02304,,Kingman Police Department,,,18045,NA
IN02303,,Veedersburg Police Department,,,18045,NA
IN02403,,Laurel Police Department,,,18047,NA
IN02402,,Oldenburg Police Department,,,18047,NA
IN02503,,Akron Police Department,,,18049,NA
IN02502,,Kewanna Marshal Office,,,18049,NA
IN02603,,Fort Branch Police Department,,,18051,NA
IN02607,,Francisco Police Department,,,18051,NA
IN02605,,Haubstadt Police Department,,,18051,NA
IN02608,,Owensville Police Department,,,18051,NA
IN02704,,Jonesboro Police Department,,,18053,NA
IN02706,,Matthews Police Department,,,18053,NA
IN02707,,Swayzee Police Department,,,18053,NA
IN02709,,Sweetser Police Department,,,18053,NA
IN02708,,Van Buren Police Department,,,18053,NA
IN02804,,Lyons Police Department,,,18055,NA
IN02908,,Atlanta Police Department,,,18057,NA
IN03019,,Cumberland Police Department,,,18059,NA
IN03004,,Spring Lake Police Department,,,18059,NA
IN03006,,Wilkinson Police Department,,,18059,NA
IN03102,,Lanesville Police Department,,,18061,NA
IN03103,,Palmyra Police Department,,,18061,NA
IN03309,,Blountsville Marshal's Office,,,18065,NA
IN03308,,Kennard Police Department,,,18065,NA
IN03301,,Knightstown Police Department,,,18065,NA
IN03304,,Middletown Police Department,,,18065,NA
IN03305,,Mooreland Marshal's Office,,,18065,NA
IN03313,,Spiceland Police Department,,,18065,NA
IN03312,,Sulphur Springs Police Department,,,18065,NA
IN03403,,Greentown Police Department,,,18067,NA
IN03505,,Andrews Police Department,,,18069,NA
IN03504,,Roanoke Police Department,,,18069,NA
IN03604,,Crothersville Police Department,,,18071,NA
IN03603,,Medora Police Department,,,18071,NA
IN03702,,Demotte Police Department,,,18073,NA
IN03704,,Wheatfield Police Department,,,18073,NA
IN03803,,Pennville Police Department,,,18075,NA
IN03804,,Redkey Police Department,,,18075,NA
IN03902,,Hanover Police Department,,,18077,NA
IN04205,,Oaktown Police Department,,,18083,NA
IN04203,,Vincennes University Department Of Public Safety,,,18083,NA
IN04307,,Mentone Police Department,,,18085,NA
IN04304,,Pierceton Police Department,,,18085,NA
IN04519,,Purdue University-Calumet Police,,,18089,NA
IN04520,,Schneider Marshal Office,,,18089,NA
IN04608,,Purdue University-North Central Police,,,18091,NA
IN04703,,Oolitic Police Department,,,18093,NA
IN04809,,Edgewood Police Department,,,18095,NA
IN04808,,Frankton Police Department,,,18095,NA
IN04804,,Ingalls Police Department,,,18095,NA
IN04810,,Lapel Police Department,,,18095,NA
IN04811,,Markleville Police Department,,,18095,NA
IN04806,,Summitville Police Department,,,18095,NA
IN04914,,Clermont Police Department,,,18097,NA
IN04917,,Homecroft Police Department,,,18097,NA
INIEP06,,Indiana Alcohol Beverage Control Enforcement Branch,,,18097,NA
IN04918,,Meridian Hills Police Department,,,18097,NA
IN04916,,Warren Park Town Police Department,,,18097,NA
IN04921,,Williams Creek Police Department,,,18097,NA
IN05004,,Bourbon Police Department,,,18099,NA
IN05003,,La Paz Police Department,,,18099,NA
IN05103,,Crane Village Police Department,,,18101,NA
IN05102,,Shoals Police Department,,,18101,NA
IN05207,,Amboy Police Department,,,18103,NA
IN05204,,Bunker Hill Police Department,,,18103,NA
IN05202,,Converse Police Department,,,18103,NA
IN05203,,Denver Police Department,,,18103,NA
IN05304,,Stinesville Police Department,,,18105,NA
IN05405,,Darlington Police Department,,,18107,NA
IN05402,,Ladoga Town Police Department,,,18107,NA
IN05404,,Linden Police Department,,,18107,NA
IN05406,,New Market Police Department,,,18107,NA
IN05409,,New Richmond Police Department,,,18107,NA
IN05403,,Waveland Police Department,,,18107,NA
IN05503,,Brooklyn Police Department,,,18109,NA
IN05506,,Lake Hart Police Department,,,18109,NA
IN05504,,Morgantown Police Department,,,18109,NA
IN05505,,Paragon Police Department,,,18109,NA
IN05604,,Brook Police Department,,,18111,NA
IN05603,,Goodland City Police Department,,,18111,NA
IN05602,,Kentland Police Department,,,18111,NA
IN05601,,Morocco City Police Department,,,18111,NA
IN05706,,Rome City Police Department,,,18113,NA
IN05707,,Wolcottville Police Department,,,18113,NA
IN05902,,French Lick Police Department,,,18117,NA
IN05903,,Orleans Police Department,,,18117,NA
IN05905,,West Baden Police Department,,,18117,NA
IN06002,,Gosport Police Department,,,18119,NA
IN06103,,Montezuma Police Department,,,18121,NA
IN06105,,Rosedale Police Department,,,18121,NA
IN06302,,Winslow Police Department,,,18125,NA
IN06409,,Beverly Shores Town Police Department,,,18127,NA
IN06405,,Dune Acres Police Department,,,18127,NA
IN06504,,New Harmony Police Department,,,18129,NA
IN06502,,Poseyville Police Department,,,18129,NA
IN06603,,Francesville Police Department,,,18131,NA
IN06601,,Winamac Police Department,,,18131,NA
IN06704,,Bainbridge Police Department,,,18133,NA
IN06702,,Cloverdale Police Department,,,18133,NA
IN06706,,Fillmore Police Department,,,18133,NA
IN06803,,Farmland Police Department,,,18135,NA
IN06806,,Losantville Police Department,,,18135,NA
IN06807,,Parker Police Department,,,18135,NA
IN06805,,Ridgeville Police Department,,,18135,NA
IN06808,,Saratoga Police Department,,,18135,NA
IN06906,,Holton Police Department,,,18137,NA
IN06903,,Milan Police Department,,,18137,NA
IN06902,,Osgood Police Department,,,18137,NA
IN06905,,Sunman Police Department,,,18137,NA
IN06904,,Versailles Police Department,,,18137,NA
IN07002,,Carthage Police Department,,,18139,NA
IN07110,,Lakeville Police Department,,,18141,NA
IN07302,,Morristown Police Department,,,18145,NA
IN07405,,Gentryville Police Department,,,18147,NA
IN07503,,Hamlet Police Department,,,18149,NA
IN07604,,Hamilton Police Department,,,18151,NA
IN07605,,Orland Police Department,,,18151,NA
IN07705,,Carlisle Police Department,,,18153,NA
IN07704,,Dugger Police Department,,,18153,NA
IN07706,,Farmersburg Police Department,,,18153,NA
IN07904,,Battle Ground Police Department,,,18157,NA
IN08003,,Kempton Police Department,,,18159,NA
IN08004,,Sharpsville Police Department,,,18159,NA
IN08002,,Windfall Police Department,,,18159,NA
IN08101,,Liberty Police Department,,,18161,NA
IN08306,,Cayuga Police Department,,,18165,NA
IN08304,,Dana Police Department,,,18165,NA
IN08303,,Fairview Park Police Department,,,18165,NA
IN08503,,La Fontaine Police Department,,,18169,NA
IN08601,,Williamsport Police Department,,,18171,NA
IN08702,,Chandler Police Department,,,18173,NA
IN08703,,Newburgh Police Department,,,18173,NA
IN08802,,Campbellsburg Police Department,,,18175,NA
IN08803,,Pekin Police Department,,,18175,NA
IN08903,,Centerville Town Police Department,,,18177,NA
IN08907,,Dublin Police Department,,,18177,NA
IN08909,,Fountain City Police Department,,,18177,NA
IN08905,,Milton Police Department,,,18177,NA
IN09002,,Ossian Town Police Department,,,18179,NA
IN09102,,Brookston Police Department,,,18181,NA
IN09107,,Reynolds Police Department,,,18181,NA
IN09104,,Wolcott Police Department,,,18181,NA
IN09202,,Churubusco City Police Department,,,18183,NA
IA00201,,Corning Police Department,,,19003,NA
IA00302,,New Albin Police Department,,,19005,NA
IA00402,,Moulton Marshal Office,,,19007,NA
IA00502,,Exira Police Department,,,19009,NA
IA00705,,Hudson Police Department,,,19013,NA
IA00901,,Sumner Police Department,,,19017,NA
IA00903,,Tripoli Police Department,,,19017,NA
IA01003,,Jesup Town Police Department,,,19019,NA
IA01104,,Alta Police Department,,,19021,NA
IA01102,,Newell Police Department,,,19021,NA
IA01103,,Sioux Rapids Police Department,,,19021,NA
IA01205,,Aplington Police Department,,,19023,NA
IA01203,,Clarksville Police Department,,,19023,NA
IA01207,,New Hartford Police Department,,,19023,NA
IA01202,,Shell Rock Police Department,,,19023,NA
IA01303,,Farnhamville Police Department,,,19025,NA
IA01304,,Manson Police Department,,,19025,NA
IA01305,,Pomeroy Police Department,,,19025,NA
IA01402,,Coon Rapids Police Department,,,19027,NA
IA01403,,Manning Police Department,,,19027,NA
IA01803,,Aurelia Police Department,,,19035,NA
IA01902,,Nashua Police Department,,,19037,NA
IA02205,,Garnavillo Police Department,,,19043,NA
IA02202,,Monona City Police Department,,,19043,NA
IA02203,,Strawberry Point Police Department,,,19043,NA
IA02503,,Dallas Center Police Department,,,19049,NA
IA03002,,Milford City Police Department,,,19059,NA
IA03102,,Cascade Police Department,,,19061,NA
IA03703,,Churdan Police Department,,,19073,NA
IA03702,,Grand Junction Police Department,,,19073,NA
IA03704,,Scranton Police Department,,,19073,NA
IA03802,,Reinbeck Police Department,,,19075,NA
IA03902,,Guthrie Police Department,,,19077,NA
IA03901,,Stuart City Police Department,,,19077,NA
IA04002,,Jewell/Ellsworth Police Department,,,19079,NA
IA04102,,Britt Police Department,,,19081,NA
IA04703,,Battle Creek Police Department,,,19093,NA
IA04802,,Victor Police Department,,,19095,NA
IA04902,,Bellevue Police Department,,,19097,NA
IA05802,,Columbus Junction Police Department,,,19115,NA
IA05801,,Wapello Police Department,,,19115,NA
IA05902,,Russell Police Department,,,19117,NA
IA06702,,Mapleton Police Department,,,19133,NA
IA07101,,Hartley Police Department,,,19141,NA
IA07105,,Sanborn Police Department,,,19141,NA
IA07106,,Sutherland Police Department,,,19141,NA
IA07440,,Graettinger Police Department,,,19147,NA
IA07502,,Akron Town Police Department,,,19149,NA
IA07503,,Kingsley Police Department,,,19149,NA
IA07504,,Remsen Police Department,,,19149,NA
IA07602,,Laurens Police Department,,,19151,NA
IA07601,,Pocahontas Police Department,,,19151,NA
IA07717,,Iowa Department Of Natural Resources,,,19153,NA
IADP511,,Iowa State Fire Marshal,,,19153,NA
IA07903,,Brooklyn Police Department,,,19157,NA
IA07902,,Montezuma Police Department,,,19157,NA
IA08001,,Mount Ayr Police Department,,,19159,NA
IA08102,,Lake View Police Department,,,19161,NA
IA08103,,Odebolt Police Department,,,19161,NA
IA08506,,Roland Police Department,,,19169,NA
IA09003,,Eddyville Police Department,,,19179,NA
IA09301,,Corydon Town Police Department,,,19185,NA
IA09503,,Buffalo Center City Police Department,,,19189,NA
IA09602,,Calmar Police Department,,,19191,NA
IA09802,,Manly Police Department,,,19195,NA
IA09801,,Northwood Police Department,,,19195,NA
KS02502,,Moline Police Department,,,20049,NA
KSTRIB1,,Prairie Band Of Potawatomi Indians Police,,,20085,NA
KS05301,,Lincoln Police Department,,,20105,NA
KS05302,,Sylvan Grove Police Department,,,20105,NA
KS08712,,Wichita Airport Authority Police,,,20173,NA
KY05611,,Beechwood Police Department,,,21111,NA
KY05671,,Louisville Housing Authority-Investigations,,,21111,NA
LA00105,,Estherwood Police Department,,,22001,NA
LA00106,,Mermentau Police Department,,,22001,NA
LA00107,,Morse Police Department,,,22001,NA
LATRIB1,,Coushatta Tribal Police Department,,,22003,NA
LA00204,,Elizabeth Police Department,,,22003,NA
LA00205,,Reeves Police Department,,,22003,NA
LA00507,,Hessmer Police Department,,,22009,NA
LA00505,,Mansura Police Department,,,22009,NA
LA00509,,Plaucheville Police Department,,,22009,NA
LADI050,,Tunica-Biloxi Police Department,,,22009,NA
LA00704,,Castor Police Department,,,22013,NA
LA00911,,Gilliam Police Department,,,22017,NA
LA00906,,Mooringsport Police Department,,,22017,NA
LA00909,,Rodessa Police Department,,,22017,NA
LA01102,,Clarks Police Department,,,22021,NA
LA01101,,Columbia Police Department,,,22021,NA
LA01103,,Grayson Police Department,,,22021,NA
LA01404,,Lisbon Police Department,,,22027,NA
LA01504,,Ridgecrest Police Department,,,22029,NA
LA01603,,South Mansfield Police Department,,,22031,NA
LA01712,,Louisiana State Fire Marshal,,,22033,NA
LA01904,,Slaughter Police Department,,,22037,NA
LA02004,,Pine Prairie Police Department,,,22039,NA
LA02005,,Turkey Creek Police Department,,,22039,NA
LA02103,,Gilbert Police Department,,,22041,NA
LA02201,,Colfax Police Department,,,22043,NA
LA02203,,Dry Prong Police Department,,,22043,NA
LA02502,,Chatham Police Department,,,22049,NA
LA02507,,East Hodge Police Department,,,22049,NA
LA02505,,Eros Police Police Department,,,22049,NA
LA03003,,Tullos Police Department,,,22059,NA
LA03004,,Urania Police Department,,,22059,NA
LA03104,,Choudrant Police Department,,,22061,NA
LA03204,,Albany Police Department,,,22063,NA
LA03304,,Richmond Police Department,,,22065,NA
LA03402,,Mer Rouge Police Department,,,22067,NA
LA03507,,Ashland Police Department,,,22069,NA
LA03502,,Campti Police Department,,,22069,NA
LA03505,,Goldonna Police Department,,,22069,NA
LA03503,,Provencal Police Department,,,22069,NA
LA03506,,Robeline Police Department,,,22069,NA
LA03614,,Orleans Levee District Police,,,22071,NA
LA03904,,Fordoche Police Department,,,22077,NA
LA03902,,Morganza Police Department,,,22077,NA
LA04014,,Louisiana State University-Alexandria Police,,,22079,NA
LA04003,,Boyce Police Department,,,22079,NA
LA04008,,Forest Hill Police Department,,,22079,NA
LA04009,,Mcnary Police Department,,,22079,NA
LA04102,,Edgefield Police Department,,,22081,NA
LA04103,,Hall Summit Police Department,,,22081,NA
LA04104,,Martin Police Department,,,22081,NA
LA04303,,Converse Police Department,,,22085,NA
LA04306,,Noble Police Department,,,22085,NA
LA04304,,Pleasant Hill Police Department,,,22085,NA
LA04912,,Cankton Police Department,,,22097,NA
LA04909,,Grand Coteau Police Department,,,22097,NA
LA04910,,Leonville Police Department,,,22097,NA
LA04907,,Melville Police Department,,,22097,NA
LA05208,,Madisonville Police Department,,,22103,NA
LA05204,,Sun Police Department,,,22103,NA
LA05607,,Lillie Police Department,,,22111,NA
LA05706,,Maurice Police Department,,,22113,NA
LA05804,,Hornbeck Police Department,,,22115,NA
LA05904,,Angie Police Department,,,22117,NA
LA05903,,Varnado Police Department,,,22117,NA
LA06003,,Cotton Valley Police Department,,,22119,NA
LA06005,,Doyline Police Department,,,22119,NA
LA06006,,Sarepta Police Department,,,22119,NA
LA06204,,Forest Police Department,,,22123,NA
LA06203,,Kilbourne Police Department,,,22123,NA
LA06205,,Pioneer Police Department,,,22123,NA
LA06403,,Calvin Police Department,,,22127,NA
LA06402,,Dodson Police Department,,,22127,NA
LA06404,,Sikes Police Department,,,22127,NA
ME00620,,Farmingdale Police Department,,,23011,NA
ME00611,,Vassalboro Police Department,,,23011,NA
MD00101,,Barton Police Department,,,24001,NA
MD00416,,Baltimore City Housing Authority Police Force,,,24510,NA
MA00224,,Sandisfield Police Department,,,25003,NA
MA00230,,West Stockbridge Police Department,,,25003,NA
MA00232,,Windsor Police Department,,,25003,NA
MA00605,,Colrain Police Department,,,25011,NA
MA00611,,Hawley Police Department,,,25011,NA
MA00625,,Wendell Police Department,,,25011,NA
MA00811,,Middlefield Police Department,,,25015,NA
MA00814,,Plainfield Police Department,,,25015,NA
MA01325,,Massachusetts Bay Transit Authority,,,25025,NA
MITRIB3,,Keweenaw Bay Tribal Police Department,,,26013,NA
MI01011,,Thompsonville Police Department,,,26019,NA
MI12744,,Sherwood Police Department,,,26023,NA
MITRIB1,,Bay Mills Tribal Police Department,,,26033,NA
MITRIB4,,Lac Vieux Desert Tribal Police Department,,,26053,NA
MI33513,,Lansing School District Department Of Public Safety,,,26065,NA
MI41434,,Grand Rapids School District Public Safety,,,26081,NA
MI54595,,Morley Police Department,,,26107,NA
MNTRIB5,,Red Lake Department Of Conservation,,,27007,NA
MN00703,,Amboy-Vernon Center Police Department,,,27013,NA
MN00706,,Good Thunder Police Department,,,27013,NA
MNTRIB2,,Fond Du Lac Department Of Conservation,,,27017,NA
MN01101,,Cass Lake Police Department,,,27021,NA
MNTRIB4,,Leech Lake Department Of Resource Management,,,27021,NA
MN01301,,Rush City Police Department,,,27025,NA
MN01407,,Ulen Police Department,,,27027,NA
MN01503,,Gonvick Police Department,,,27029,NA
MNTRIB3,,Grand Portage Department Of Conservation,,,27031,NA
MN02208,,Easton Police Department,,,27043,NA
MN02203,,Kiester Police Department,,,27043,NA
MN02302,,Harmony Police Department,,,27045,NA
MN02303,,Lanesboro Police Department,,,27045,NA
MN02309,,Mabel Police Department,,,27045,NA
MN02406,,Glenville Police Department,,,27047,NA
MN02903,,Nevis Police Department,,,27057,NA
MN03106,,Bigfork Police Department,,,27061,NA
MN03108,,Marble Police Department,,,27061,NA
MN03705,,Boyd Police Department,,,27073,NA
MN04102,,Hendricks Police Department,,,27081,NA
MN04103,,Ivanhoe Police Department,,,27081,NA
MN04204,,Balaton Police Department,,,27083,NA
MN04208,,Russell Police Department,,,27083,NA
MN04401,,Mahnomen Police Department,,,27087,NA
MN04402,,Waubun Police Department,,,27087,NA
MNTRIB6,,White Earth Department Of Conservation,,,27087,NA
MN04506,,Stephen Police Department,,,27089,NA
MN04501,,Warren City Police Department,,,27089,NA
MN04605,,Ceylon Police Department,,,27091,NA
MN04606,,Dunnell Police Department,,,27091,NA
MN04604,,Welcome Village Police Department,,,27091,NA
MN04706,,Dassel Police Department,,,27093,NA
MN04703,,Grove City Police Department,,,27093,NA
MN04707,,Watkins Police Department,,,27093,NA
MNTRIB1,,Mille Lacs Trial Police Department,,,27095,NA
MN05002,,Adams Police Department,,,27099,NA
MN05003,,Brownsdale Police Department,,,27099,NA
MN05007,,Mapleview Police Department,,,27099,NA
MN05609,,Deer Creek Police Department,,,27111,NA
MN06011,,Climax Police Department,,,27119,NA
MN06005,,Erskine Village Police Department,,,27119,NA
MN06004,,Fertile Police Department,,,27119,NA
MN06006,,Fisher Police Department,,,27119,NA
MN06007,,Mcintosh Police Department,,,27119,NA
MNCONOO,,Minnesota Department Of Natural Resources,,,27123,NA
MN06406,,Wabasso Village Police Department,,,27127,NA
